teamName,season,eFG%,TOV%,FT/FGA,ORB%,DRB%
Atlanta Hawks,2015,0.5285495356265317,0.13498665411888525,0.20387079612255907,0.21237847295903703,0.7352024243395882
Atlanta Hawks,2016,0.517697658223493,0.13823730767634365,0.18761196479225223,0.18727948786012108,0.7484572604538591
Atlanta Hawks,2017,0.5052947013616099,0.14228939273909452,0.21703319474068714,0.23506224254611907,0.7632830928330279
Atlanta Hawks,2018,0.513520274144346,0.14147887038780327,0.18718824620786984,0.20871078373595106,0.7635871471392838
Atlanta Hawks,2019,0.5226840036335489,0.1431393499617099,0.19393571869922888,0.24798089609491059,0.7659882119612507
Atlanta Hawks,2020,0.5168445531342326,0.13871263176610407,0.2054197741867858,0.21468601516783703,0.7491509325215738
Atlanta Hawks,2021,0.5409775698478416,0.11943879734667415,0.22796714587886738,0.24078105075171358,0.7805047736110701
Atlanta Hawks,2022,0.5445284378769176,0.10792989125004486,0.2071705181923865,0.2274759503631724,0.7723533294098968
Atlanta Hawks,2023,0.5431576693383366,0.11233711101850953,0.2025233039858207,0.24845791061052658,0.7640747499350757
Atlanta Hawks,2024,0.5405647282184157,0.11709505286948306,0.1989418500990378,0.2674228364771248,0.755795166138307
Atlanta Hawks,2025,0.5487385584946198,0.1261370807970072,0.1989202821558054,0.2614885457431248,0.7618215453538959
Boston Celtics,2015,0.4902712253887516,0.12450671178662172,0.1784112005097707,0.24500527634165237,0.7528657912261193
Boston Celtics,2016,0.48920538647517947,0.12101868362073527,0.21005113107768913,0.24912704854264606,0.7482121378580999
Boston Celtics,2017,0.5258709633136592,0.12190502306659065,0.221780780103751,0.20953501784618714,0.7551652175268792
Boston Celtics,2018,0.5189065412227742,0.1295009244278313,0.1888351227561204,0.21206052285983,0.7861037128823016
Boston Celtics,2019,0.5353017794983894,0.11460928585744053,0.17463487547647005,0.21474216396743157,0.7708423067637613
Boston Celtics,2020,0.5321996744081927,0.12181993685132067,0.2090105493470053,0.23700180483365108,0.7779037099464179
Boston Celtics,2021,0.5438775524774975,0.12520827319656064,0.1837389375858687,0.2418368636556744,0.7828563960072406
Boston Celtics,2022,0.5432406612540167,0.12356158891589517,0.1965303884978194,0.23843785915241558,0.7748749088039898
Boston Celtics,2023,0.5667794323141807,0.1196626457561833,0.19979621008515736,0.2186984214800163,0.7872949524238839
Boston Celtics,2024,0.5816428794318029,0.10640809660712322,0.18442256123088735,0.24841588876613682,0.7609654936218475
Boston Celtics,2025,0.5618577799381598,0.10326077290858053,0.17097515020386178,0.2558424397519852,0.7601602568082985
Brooklyn Nets,2015,0.49250910247148194,0.1296815666406142,0.20156047406855743,0.2353902893384064,0.7406613959573667
Brooklyn Nets,2016,0.4926810723795972,0.13680694468406154,0.18817792061485444,0.23773253696642158,0.7614733288813849
Brooklyn Nets,2017,0.5087305986012118,0.14711669970890634,0.23100062709208447,0.19242297667231165,0.7656478783145854
Brooklyn Nets,2018,0.5156083748425283,0.13594432503139722,0.20220731891734953,0.20902614573468037,0.7732956719781868
Brooklyn Nets,2019,0.5208470032180228,0.13013303872872173,0.2148816758319726,0.2346286790491127,0.7671197654670416
Brooklyn Nets,2020,0.521271365862424,0.13109382817339318,0.2029397046943121,0.23208926028409854,0.7787538924561611
Brooklyn Nets,2021,0.576805278515305,0.12194152312692284,0.21065063205765022,0.21179088653775202,0.7757724686368164
Brooklyn Nets,2022,0.5420546668786459,0.12559627336304346,0.20106614448849724,0.23789514455235106,0.7533035574305497
Brooklyn Nets,2023,0.5639132898143258,0.12630496304400884,0.20842315053761967,0.1926363694163525,0.7397809871639508
Brooklyn Nets,2024,0.5302600357531225,0.11807627571821652,0.18131948745438065,0.24968369413117314,0.763264437857755
Brooklyn Nets,2025,0.51741416706751,0.12706046470024449,0.19084162470045232,0.2423551221135135,0.7541261809779346
Charlotte Hornets,2015,0.4567664077805714,0.11153673075792243,0.20348005277483588,0.22062458353079978,0.7964555050555936
Charlotte Hornets,2016,0.5022089612991222,0.11688341942116093,0.22408313335122326,0.19790684416302246,0.7991351576106182
Charlotte Hornets,2017,0.5021526521130334,0.10682928536566424,0.2293930147358696,0.19704243990166914,0.7980848512803314
Charlotte Hornets,2018,0.5084664529797229,0.11390540711721688,0.235738415621122,0.2213767856289009,0.8096178797748287
Charlotte Hornets,2019,0.5153947389605735,0.10862412246653541,0.2078313860281162,0.21692695359986927,0.7742841946842043
Charlotte Hornets,2020,0.5057420364725128,0.13257235461924155,0.1904067315490983,0.23969927967425744,0.744528965631185
Charlotte Hornets,2021,0.5336955683068517,0.13274007058124832,0.18199660866720566,0.23368464580978854,0.7591739186140293
Charlotte Hornets,2022,0.5464953083206144,0.11614403590036228,0.1740851454840146,0.23131189358925042,0.7515736034403433
Charlotte Hornets,2023,0.5178403529552252,0.1240120426309587,0.19600679153433484,0.23489021341473643,0.7563807530423907
Charlotte Hornets,2024,0.5332755385117959,0.12675564727085648,0.16852557330702186,0.20309956277608404,0.7469582232037455
Charlotte Hornets,2025,0.5054588248411428,0.13231463891613815,0.1770018330950881,0.2658709537645613,0.746211873634968
Chicago Bulls,2015,0.4910221106858341,0.12894015798663958,0.24137958572528787,0.26585804837383137,0.7433942587429632
Chicago Bulls,2016,0.48913758141432767,0.1250984708966312,0.19051041763659113,0.2438135067817362,0.7503132405183544
Chicago Bulls,2017,0.4881299892525296,0.12262421042417675,0.2085682803720902,0.26840002687468284,0.7687393951363732
Chicago Bulls,2018,0.49829261788591067,0.12586890947063795,0.165857443645672,0.20336358834909696,0.8068583673551257
