gameId,season,homeTeam,awayTeam,homeSeed,awaySeed,homeCourt,homeWin,gameNumber,round,eFG%_home_r1_roll,TOV%_home_r1_roll,FT/FGA_home_r1_roll,ORB%_home_r1_roll,DRB%_home_r1_roll,eFG%_away_r1_roll,TOV%_away_r1_roll,FT/FGA_away_r1_roll,ORB%_away_r1_roll,DRB%_away_r1_roll,eFG%_home_season,TOV%_home_season,FT/FGA_home_season,ORB%_home_season,DRB%_home_season,eFG%_away_season,TOV%_away_season,FT/FGA_away_season,ORB%_away_season,DRB%_away_season,homeWins,awayWins
42400157,2025,Houston Rockets,Golden State Warriors,2.0,7.0,True,False,7,1.0,0.525079805252219,0.11728905218184538,0.2592267618330168,0.31457991392201917,0.7487743638843235,0.5141117095173271,0.11393618139583457,0.16562656382244087,0.25122563611567655,0.6854200860779809,0.5229791546354807,0.1111303229978362,0.1797425119189189,0.3160251095024033,0.7631315491103853,0.5370703856058747,0.116518717747751,0.1893766082715259,0.2715094236717492,0.7588613111513853,3,3
42400177,2025,Denver Nuggets,Los Angeles Clippers,4.0,5.0,True,True,7,1.0,0.5420933940569997,0.12569005750366022,0.16493421760498508,0.279563492063492,0.7447525062656641,0.5633638789249956,0.10552204228471636,0.1636287651691146,0.2552474937343358,0.7204365079365079,0.5746145427039192,0.1192318310051288,0.2025145635283618,0.2665565798549045,0.7472582806684616,0.5556264875483019,0.1262884165993449,0.2016721788618986,0.2439898057377592,0.7772864684204371,3,3
42400156,2025,Golden State Warriors,Houston Rockets,7.0,2.0,False,False,6,1.0,0.5180451625319036,0.10906090038592817,0.15875187658692902,0.24730409667214515,0.6775041032935769,0.5249675611744576,0.12060771944721482,0.22645672958423554,0.322495896706423,0.7526959033278549,0.5370703856058747,0.116518717747751,0.1893766082715259,0.2715094236717492,0.7588613111513853,0.5229791546354807,0.1111303229978362,0.1797425119189189,0.3160251095024033,0.7631315491103853,3,2
42400176,2025,Los Angeles Clippers,Denver Nuggets,5.0,4.0,False,True,6,1.0,0.5620831663379018,0.11257022584206125,0.16612196006340266,0.2589285714285714,0.7200793650793651,0.5326549300112569,0.12681846516285566,0.1836353468402678,0.2799206349206349,0.7410714285714286,0.5556264875483019,0.1262884165993449,0.2016721788618986,0.2439898057377592,0.7772864684204371,0.5746145427039192,0.1192318310051288,0.2025145635283618,0.2665565798549045,0.7472582806684616,2,3
42400126,2025,Detroit Pistons,New York Knicks,6.0,3.0,False,False,6,1.0,0.5075555866595538,0.14145723814820427,0.2562319912251513,0.2925035833731486,0.7678267517574682,0.5072775306158651,0.10122934122765434,0.19196073336608463,0.23217324824253188,0.7074964166268514,0.548780819500136,0.1242617126027715,0.1948336306979154,0.2594570567736945,0.7630740648939247,0.5573323517857001,0.1103193586209133,0.1884116681945858,0.2569181580584944,0.7479974537078781,2,3
42400165,2025,Los Angeles Lakers,Minnesota Timberwolves,3.0,6.0,True,False,5,1.0,0.5333421184738956,0.1265193702359309,0.2192520080321285,0.25091594608858037,0.7187330623306233,0.5250145975602261,0.09042587466358612,0.19997796662500808,0.2812669376693767,0.7490840539114196,0.5581055098736905,0.1203752657423463,0.2174557529966735,0.2305396151391905,0.7450589432422474,0.5565076749943708,0.124347008018063,0.1990115453629053,0.2556939144770764,0.7523160875319653,1,3
42400155,2025,Houston Rockets,Golden State Warriors,2.0,7.0,True,True,5,1.0,0.49755560531422593,0.12264870478128242,0.1805068094161919,0.34061987088302875,0.8024770220169614,0.524983637630899,0.10869745481616458,0.16203207874337003,0.19752297798303858,0.6593801291169712,0.5229791546354807,0.1111303229978362,0.1797425119189189,0.3160251095024033,0.7631315491103853,0.5370703856058747,0.116518717747751,0.1893766082715259,0.2715094236717492,0.7588613111513853,1,3
42400175,2025,Denver Nuggets,Los Angeles Clippers,4.0,5.0,True,True,5,1.0,0.5015744764675595,0.1371189718645285,0.17721860215498594,0.29434523809523805,0.7388392857142857,0.5547381042638406,0.11674805837619621,0.15277440129876552,0.26116071428571425,0.705654761904762,0.5746145427039192,0.1192318310051288,0.2025145635283618,0.2665565798549045,0.7472582806684616,0.5556264875483019,0.1262884165993449,0.2016721788618986,0.2439898057377592,0.7772864684204371,2,2
42400115,2025,Boston Celtics,Orlando Magic,2.0,7.0,True,True,5,1.0,0.5185317470378447,0.1174153418113891,0.27472380330612034,0.2646798584298584,0.762409420289855,0.4837195542455607,0.1084226455052006,0.16742470827714237,0.2375905797101449,0.7353201415701416,0.5618577799381598,0.1032607729085805,0.1709751502038617,0.2558424397519852,0.7601602568082985,0.510347938343158,0.1202786418521276,0.2125014442963116,0.2524369386385372,0.7727283627059952,3,1
42400125,2025,New York Knicks,Detroit Pistons,3.0,6.0,True,False,5,1.0,0.5132635799364982,0.09824628656242311,0.19550647226316137,0.2120915603031648,0.699587912087912,0.5167974245009128,0.14827270720739166,0.24381940079614497,0.3004120879120879,0.7879084396968352,0.5573323517857001,0.1103193586209133,0.1884116681945858,0.2569181580584944,0.7479974537078781,0.548780819500136,0.1242617126027715,0.1948336306979154,0.2594570567736945,0.7630740648939247,3,1
42400135,2025,Indiana Pacers,Milwaukee Bucks,4.0,5.0,True,True,5,1.0,0.5982355347315187,0.09110906534826872,0.17541648073776586,0.16093970558580356,0.7786147623862487,0.5281561917676796,0.10350610637629795,0.18379158133613765,0.22138523761375123,0.8390602944141964,0.5622493143037851,0.1097941363664756,0.1923640118520674,0.2115510400062374,0.7468470321126954,0.5707657893237635,0.1182210867783272,0.2044242587321111,0.1907593586665259,0.7631686768831937,3,1
