gameId,season,gameNumber,homeTeam,awayTeam,homeCourt,homeWin,restAdvantage,homeSeriesLength,awaySeriesLength,round,eFG%_home_r1r2r3_avg,eFG%_away_r1r2r3_avg,eFG%_home_season,eFG%_away_season,TOV%_home_r1r2r3_avg,TOV%_away_r1r2r3_avg,TOV%_home_season,TOV%_away_season,FT/FGA_home_r1r2r3_avg,FT/FGA_away_r1r2r3_avg,FT/FGA_home_season,FT/FGA_away_season,ORB%_home_r1r2r3_avg,ORB%_away_r1r2r3_avg,ORB%_home_season,ORB%_away_season,DRB%_home_r1r2r3_avg,DRB%_away_r1r2r3_avg,DRB%_home_season,DRB%_away_season
42400401,2025,1,Oklahoma City Thunder,Indiana Pacers,True,False,3,5,6,4.0,0.533510848211966,0.5746427276639607,0.5581594613975414,0.5622493143037851,0.09811136820388677,0.11070759067829972,0.0980068811549895,0.1097941363664756,0.20878779985573073,0.22473850145548424,0.1822653182514745,0.1923640118520674,0.25402109260966776,0.17894893287568847,0.2382942231241037,0.2115510400062374,0.7232084601805485,0.7322470487137778,0.747758760424753,0.7468470321126954
42300401,2024,1,Boston Celtics,Dallas Mavericks,True,True,3,4,5,4.0,0.5681804956990881,0.5484777507269937,0.5816428794318029,0.5633441334473217,0.10988578439564649,0.121387305200282,0.1064080966071232,0.1115092553499813,0.1909501611046211,0.21225351068098144,0.1844225612308873,0.191445611040659,0.24989567683840203,0.2726847835834145,0.2484158887661368,0.2159150506473415,0.812846403291758,0.7581239544408068,0.7609654936218475,0.7589135464713116
42200401,2023,1,Denver Nuggets,Miami Heat,True,True,7,4,7,4.0,0.5595649896259701,0.5495571772354367,0.5739329918825821,0.5308604861096629,0.10440873796140095,0.11471620526671408,0.1308576633230589,0.1240165455628831,0.2055542980018478,0.19643376491847078,0.195762284976208,0.2282665762316884,0.2505522292817969,0.21581293260434573,0.2441077785276693,0.2264879803667216,0.8105216933376371,0.7485443746118193,0.7656951336593567,0.7784395136663975
42100401,2022,1,Golden State Warriors,Boston Celtics,False,False,3,5,7,4.0,0.5755623795728484,0.5366687711476579,0.5523677843120525,0.5432406612540167,0.13369723229821706,0.13182474863228824,0.1348557134703063,0.1235615889158951,0.1935047659712334,0.2446766487356417,0.1818884716302517,0.1965303884978194,0.2314161583643568,0.21702039600228687,0.2276387892777297,0.2384378591524155,0.7812872217433054,0.7684469471273944,0.7904162930811061,0.7748749088039898
42000401,2021,1,Phoenix Suns,Milwaukee Bucks,True,True,3,6,6,4.0,0.5436846144479905,0.5216799686191198,0.5655338665720011,0.5668892391853396,0.10960403738519664,0.11671492735625855,0.1147294547584077,0.120066808252772,0.1972225858356148,0.1555411854761761,0.1805858960373312,0.1779744880877236,0.20259135364184175,0.2729042324351771,0.2046587799170946,0.2304397246371305,0.782696765548534,0.8140097097818885,0.787067487257064,0.7982286741821256
41900401,2020,1,Los Angeles Lakers,Miami Heat,True,True,1,5,6,4.0,0.568921484096612,0.5408085759385935,0.5414475824923984,0.5487826578413831,0.14331906095037522,0.12431942936005759,0.1325971074100805,0.1348849871003627,0.23348135812869533,0.27739285415497394,0.2036036778757045,0.2372453885789043,0.25458784509287435,0.19702193702574447,0.2444568177181665,0.2017994082170543,0.8100765780069378,0.7936250098937524,0.7899252204162458,0.7964202146437825
41800401,2019,1,Toronto Raptors,Golden State Warriors,False,True,-5,6,4,4.0,0.5136101490977206,0.5565953311300345,0.5460632099900267,0.5650459671923008,0.11083373734800958,0.12658521749774193,0.1243232446420124,0.1261341995066933,0.21569847085501104,0.22926863953304844,0.2000810230466621,0.183988304909795,0.17416177557283521,0.25534294572236244,0.2152650595022879,0.2247859369050679,0.776749165486724,0.7683786664373521,0.7731959734662676,0.7746766260036818
41700401,2018,1,Golden State Warriors,Cleveland Cavaliers,True,True,-1,7,7,4.0,0.5361096102341457,0.5254471462353553,0.5699072925948838,0.5481309749247774,0.12388709442889155,0.12548715506116834,0.1407595576802988,0.1258270854684349,0.19744149473159792,0.2234710131256666,0.1962298606691669,0.2155766975869412,0.2194680077420354,0.2046990008532742,0.207156332678581,0.1984258295965613,0.8054918654051492,0.7925666278970563,0.7649382914582273,0.7738670592700415
41600401,2017,1,Golden State Warriors,Cleveland Cavaliers,True,True,3,4,5,4.0,0.5729839594211162,0.59944781443561,0.5651138962075722,0.5475416234496817,0.12335769360843614,0.12346210406526184,0.1323207117275162,0.1255101650001047,0.24159806638020906,0.2607016286254131,0.2057562957151005,0.2071466757208986,0.20093318740753977,0.2219684395466187,0.2255295720223658,0.2182342892524099,0.7762541010327836,0.7766951203932124,0.7499515245660151,0.7582573611650663
41500401,2016,1,Golden State Warriors,Cleveland Cavaliers,False,True,-3,7,6,4.0,0.5356963112889258,0.5653510637101553,0.5641754198786986,0.5262417957336841,0.12502998964352396,0.11285686318081764,0.1348142363971309,0.1266711703979109,0.2069484764038077,0.18777814363116466,0.1929313967750787,0.1962182768996828,0.2385681224485604,0.25999123931370427,0.233051965531863,0.2514095766884981,0.7302803946483456,0.8082613989691306,0.7617733614728481,0.7861873599150511
41400401,2015,1,Golden State Warriors,Cleveland Cavaliers,True,True,-1,5,4,4.0,0.5298673557863595,0.4988545348349177,0.5414941587541655,0.5202397180294057,0.14089817413490055,0.11671244935678783,0.1308968786212913,0.1336435482873402,0.17564281012339047,0.24421100590419778,0.1868074361075685,0.2186317873522003,0.26959794427078726,0.28469716503417153,0.2363242836784521,0.2662707203262326,0.7633814170986665,0.7781241964479771,0.7489899098056462,0.7500768741044185
