gameId,season,gameNumber,homeTeam,awayTeam,homeCourt,homeWin,homeWins,awayWins,round,eFG%_home_r2_roll,TOV%_home_r2_roll,FT/FGA_home_r2_roll,ORB%_home_r2_roll,DRB%_home_r2_roll,eFG%_home_r1_avg,TOV%_home_r1_avg,FT/FGA_home_r1_avg,ORB%_home_r1_avg,DRB%_home_r1_avg,eFG%_home_season,TOV%_home_season,FT/FGA_home_season,ORB%_home_season,DRB%_home_season,eFG%_away_r2_roll,TOV%_away_r2_roll,FT/FGA_away_r2_roll,ORB%_away_r2_roll,DRB%_away_r2_roll,eFG%_away_r1_avg,TOV%_away_r1_avg,FT/FGA_away_r1_avg,ORB%_away_r1_avg,DRB%_away_r1_avg,eFG%_away_season,TOV%_away_season,FT/FGA_away_season,ORB%_away_season,DRB%_away_season
42400227,2025,7,Oklahoma City Thunder,Denver Nuggets,True,True,3,3,2.0,0.5147846261403523,0.09964479718675147,0.21218503180863837,0.23308788040790396,0.7344138718651939,0.5245477014944482,0.08761503932358987,0.20793208557619738,0.27784681625651975,0.7571389296187683,0.5581594613975414,0.0980068811549895,0.1822653182514745,0.2382942231241037,0.747758760424753,0.4847850706973939,0.13395025269133876,0.2596268480829757,0.26558612813480614,0.7669121195920959,0.5479848139536189,0.12314503002548283,0.16518171032808243,0.2770408163265306,0.763359291084855,0.5746145427039192,0.1192318310051288,0.2025145635283618,0.2665565798549045,0.7472582806684616
42400216,2025,6,New York Knicks,Boston Celtics,False,True,3,2,2.0,0.49551821257760437,0.11082464692519159,0.2162626740032223,0.2877544409459303,0.7096086630297156,0.5118785623349263,0.10750593250452677,0.20647890571204727,0.24386530376800133,0.7284692360779318,0.5573323517857001,0.1103193586209133,0.1884116681945858,0.2569181580584944,0.7479974537078781,0.5389673841489099,0.10399720962658869,0.1956147742481133,0.29039133697028435,0.7122455590540697,0.5450885555250126,0.11648249895136628,0.2750422005396331,0.23049388674388674,0.749927536231884,0.5618577799381598,0.1032607729085805,0.1709751502038617,0.2558424397519852,0.7601602568082985
42400226,2025,6,Denver Nuggets,Oklahoma City Thunder,False,True,2,3,2.0,0.47476534065082615,0.13619612370646486,0.24876152002515223,0.26870335376176735,0.7494612101771818,0.5479848139536189,0.12314503002548283,0.16518171032808243,0.2770408163265306,0.763359291084855,0.5746145427039192,0.1192318310051288,0.2025145635283618,0.2665565798549045,0.7472582806684616,0.512306768759727,0.09958102670770774,0.23288290773558346,0.25053878982281813,0.7312966462382327,0.5245477014944482,0.08761503932358987,0.20793208557619738,0.27784681625651975,0.7571389296187683,0.5581594613975414,0.0980068811549895,0.1822653182514745,0.2382942231241037,0.747758760424753
42400235,2025,5,Minnesota Timberwolves,Golden State Warriors,True,True,3,1,2.0,0.5338372864660097,0.14896214693396162,0.20557505142113636,0.2684579928765975,0.6926114470825213,0.5087757229920011,0.09155131796349202,0.21391495756966936,0.3016092948163524,0.7629036067654994,0.5565076749943708,0.124347008018063,0.1990115453629053,0.2556939144770764,0.7523160875319653,0.4942529806504843,0.13559620975288364,0.22480997776538855,0.3073885529174786,0.7315420071234024,0.5242908729660714,0.10841689902775493,0.15416074808474023,0.2257892212001966,0.6895437472505141,0.5370703856058747,0.116518717747751,0.1893766082715259,0.2715094236717492,0.7588613111513853
42400215,2025,5,Boston Celtics,New York Knicks,True,True,1,3,2.0,0.5100187539956611,0.11066163190949264,0.19392322971490358,0.28798917121285544,0.7084887669994053,0.5450885555250126,0.11648249895136628,0.2750422005396331,0.23049388674388674,0.749927536231884,0.5618577799381598,0.1032607729085805,0.1709751502038617,0.2558424397519852,0.7601602568082985,0.5113730743639808,0.11551055082960182,0.17156291040526245,0.29151123300059467,0.7120108287871446,0.5118785623349263,0.10750593250452677,0.20647890571204727,0.24386530376800133,0.7284692360779318,0.5573323517857001,0.1103193586209133,0.1884116681945858,0.2569181580584944,0.7479974537078781
42400225,2025,5,Oklahoma City Thunder,Denver Nuggets,True,True,2,2,2.0,0.4970907780228295,0.09149475304162677,0.2362255858889915,0.2643929994736446,0.7425521803468105,0.5245477014944482,0.08761503932358987,0.20793208557619738,0.27784681625651975,0.7571389296187683,0.5581594613975414,0.0980068811549895,0.1822653182514745,0.2382942231241037,0.747758760424753,0.4736113149887904,0.13838990488792308,0.2800240649798939,0.2574478196531896,0.7356070005263554,0.5479848139536189,0.12314503002548283,0.16518171032808243,0.2770408163265306,0.763359291084855,0.5746145427039192,0.1192318310051288,0.2025145635283618,0.2665565798549045,0.7472582806684616
42400205,2025,5,Cleveland Cavaliers,Indiana Pacers,True,False,1,3,2.0,0.5045294784580499,0.1199947169476462,0.3114965986394558,0.293132473938839,0.8088611276111276,0.629976022276079,0.08426542950757662,0.2143283014489764,0.27082655964234903,0.7711264594204703,0.5789728832627004,0.1108683464899944,0.1898286370343472,0.2583481745605887,0.7496354993187085,0.5820520340374782,0.12737769926595072,0.22506913326932013,0.1911388723888724,0.706867526061161,0.5839647718712364,0.09334412237748983,0.1854944749127933,0.16548645834619385,0.769830585419203,0.5622493143037851,0.1097941363664756,0.1923640118520674,0.2115510400062374,0.7468470321126954
42400234,2025,4,Golden State Warriors,Minnesota Timberwolves,False,False,1,2,2.0,0.4982196604751555,0.1371344503539438,0.18994271545189065,0.3084021285276526,0.7087226761645367,0.5242908729660714,0.10841689902775493,0.15416074808474023,0.2257892212001966,0.6895437472505141,0.5370703856058747,0.116518717747751,0.1893766082715259,0.2715094236717492,0.7588613111513853,0.5134708123344265,0.14074582554157847,0.17705365505940543,0.29127732383546334,0.6915978714723474,0.5087757229920011,0.09155131796349202,0.21391495756966936,0.3016092948163524,0.7629036067654994,0.5565076749943708,0.124347008018063,0.1990115453629053,0.2556939144770764,0.7523160875319653
42400214,2025,4,New York Knicks,Boston Celtics,False,True,2,1,2.0,0.4789322150940034,0.11741084668934709,0.19614185155484268,0.27156452688367577,0.6790775014459225,0.5118785623349263,0.10750593250452677,0.20647890571204727,0.24386530376800133,0.7284692360779318,0.5573323517857001,0.1103193586209133,0.1884116681945858,0.2569181580584944,0.7479974537078781,0.48171276904062843,0.10850159537691563,0.1783955299152301,0.3209224985540775,0.7284354731163242,0.5450885555250126,0.11648249895136628,0.2750422005396331,0.23049388674388674,0.749927536231884,0.5618577799381598,0.1032607729085805,0.1709751502038617,0.2558424397519852,0.7601602568082985
42400204,2025,4,Indiana Pacers,Cleveland Cavaliers,False,True,2,1,2.0,0.5735604181431609,0.14002178626038508,0.24274450744153078,0.1864757614757615,0.6946267868849668,0.5839647718712364,0.09334412237748983,0.1854944749127933,0.16548645834619385,0.769830585419203,0.5622493143037851,0.1097941363664756,0.1923640118520674,0.2115510400062374,0.7468470321126954,0.49651549508692366,0.0930829802610952,0.24866213151927438,0.30537321311503324,0.8135242385242386,0.629976022276079,0.08426542950757662,0.2143283014489764,0.27082655964234903,0.7711264594204703,0.5789728832627004,0.1108683464899944,0.1898286370343472,0.2583481745605887,0.7496354993187085
