gameId,season,teamName,eFG%,TOV%,FT/FGA,ORB%,DRB%,homeScore,awayScore
41600172,2017,Los Angeles Clippers,0.5595238095238095,0.1116524563540398,0.05952380952380952,0.21052631578947367,0.9117647058823529,99,91
41600172,2017,Utah Jazz,0.5285714285714286,0.14944491887275832,0.24285714285714285,0.08823529411764706,0.7894736842105263,99,91
41600102,2017,Boston Celtics,0.524390243902439,0.15043249341857842,0.13414634146341464,0.2558139534883721,0.6923076923076923,97,111
41600102,2017,Chicago Bulls,0.5617977528089888,0.11198208286674133,0.12359550561797752,0.3076923076923077,0.7441860465116279,97,111
41600122,2017,Milwaukee Bucks,0.47701149425287354,0.11177347242921014,0.19540229885057472,0.2608695652173913,0.8235294117647058,106,100
41600122,2017,Toronto Raptors,0.5714285714285714,0.12871287128712872,0.23376623376623376,0.17647058823529413,0.7391304347826086,106,100
41600152,2017,San Antonio Spurs,0.5327868852459017,0.1756697408871322,0.5081967213114754,0.16129032258064516,0.7906976744186046,96,82
41600152,2017,Memphis Grizzlies,0.42073170731707316,0.10141987829614606,0.15853658536585366,0.20930232558139536,0.8387096774193549,96,82
41600112,2017,Cleveland Cavaliers,0.6381578947368421,0.18074581430745815,0.2631578947368421,0.22580645161290322,0.7692307692307693,117,111
41600112,2017,Indiana Pacers,0.5595238095238095,0.12948575656677766,0.20238095238095238,0.23076923076923078,0.7741935483870968,117,111
41600161,2017,Houston Rockets,0.5494505494505495,0.09696755994358251,0.1978021978021978,0.2916666666666667,0.8571428571428571,118,87
41600161,2017,Oklahoma City Thunder,0.42592592592592593,0.1413494157557482,0.2222222222222222,0.14285714285714285,0.7083333333333334,118,87
41600101,2017,Boston Celtics,0.5116279069767442,0.14498006524102935,0.16279069767441862,0.26666666666666666,0.5454545454545454,102,106
41600101,2017,Chicago Bulls,0.4725274725274725,0.15817515817515818,0.21978021978021978,0.45454545454545453,0.7333333333333333,102,106
41600141,2017,Golden State Warriors,0.5987654320987654,0.1463593121112331,0.2962962962962963,0.25,0.7659574468085106,121,109
41600141,2017,Portland Trail Blazers,0.489247311827957,0.1274643099932019,0.1935483870967742,0.23404255319148937,0.75,121,109
41600131,2017,Atlanta Hawks,0.4807692307692308,0.18078512396694216,0.41025641025641024,0.325,0.7,114,107
41600131,2017,Washington Wizards,0.49,0.1004352192835621,0.16,0.3,0.675,114,107
41600171,2017,Los Angeles Clippers,0.49382716049382713,0.1449555469655972,0.18518518518518517,0.2222222222222222,0.8421052631578947,95,97
41600171,2017,Utah Jazz,0.5316455696202531,0.12953367875647667,0.16455696202531644,0.15789473684210525,0.7777777777777778,95,97
