gameId,season,homeTeam,awayTeam,homeCourt,homeWin,round,gameNumber,eFG%_home_r1_avg,TOV%_home_r1_avg,FT/FGA_home_r1_avg,ORB%_home_r1_avg,DRB%_home_r1_avg,eFG%_away_r1_avg,TOV%_away_r1_avg,FT/FGA_away_r1_avg,ORB%_away_r1_avg,DRB%_away_r1_avg,eFG%_home_season,TOV%_home_season,FT/FGA_home_season,ORB%_home_season,DRB%_home_season,eFG%_away_season,TOV%_away_season,FT/FGA_away_season,ORB%_away_season,DRB%_away_season,homeSeriesLength,awaySeriesLength,restAdvantage
42400231,2025,Minnesota Timberwolves,Golden State Warriors,True,False,2.0,1,0.5087757229920011,0.09155131796349202,0.21391495756966936,0.3016092948163524,0.7629036067654994,0.5242908729660714,0.10841689902775493,0.15416074808474023,0.2257892212001966,0.6895437472505141,0.5565076749943708,0.124347008018063,0.1990115453629053,0.2556939144770764,0.7523160875319653,0.5370703856058747,0.116518717747751,0.1893766082715259,0.2715094236717492,0.7588613111513853,5,7,2
42400221,2025,Oklahoma City Thunder,Denver Nuggets,True,False,2.0,1,0.5245477014944482,0.08761503932358987,0.20793208557619738,0.27784681625651975,0.7571389296187683,0.5479848139536189,0.12314503002548283,0.16518171032808243,0.2770408163265306,0.763359291084855,0.5581594613975414,0.0980068811549895,0.1822653182514745,0.2382942231241037,0.747758760424753,0.5746145427039192,0.1192318310051288,0.2025145635283618,0.2665565798549045,0.7472582806684616,4,7,3
42400211,2025,Boston Celtics,New York Knicks,True,False,2.0,1,0.5450885555250126,0.11648249895136628,0.27504220053963313,0.23049388674388674,0.749927536231884,0.5118785623349263,0.10750593250452677,0.20647890571204727,0.24386530376800133,0.7284692360779318,0.5618577799381598,0.1032607729085805,0.1709751502038617,0.2558424397519852,0.7601602568082985,0.5573323517857001,0.1103193586209133,0.1884116681945858,0.2569181580584944,0.7479974537078781,5,6,1
42400201,2025,Cleveland Cavaliers,Indiana Pacers,True,False,2.0,1,0.629976022276079,0.08426542950757662,0.2143283014489764,0.27082655964234903,0.7711264594204703,0.5839647718712364,0.09334412237748983,0.1854944749127933,0.16548645834619385,0.769830585419203,0.5789728832627004,0.1108683464899944,0.1898286370343472,0.2583481745605887,0.7496354993187085,0.5622493143037851,0.1097941363664756,0.1923640118520674,0.2115510400062374,0.7468470321126954,4,5,1
42300221,2024,Oklahoma City Thunder,Dallas Mavericks,True,True,2.0,1,0.5644855439858983,0.12586323417175688,0.15994421345020293,0.18248538988396162,0.7480442176870749,0.5342677943215394,0.10915296787596364,0.23275340287529891,0.2801575384302148,0.7367683817003693,0.575182630842224,0.1126269057589585,0.2008030592196049,0.2114072015889422,0.7405276320735278,0.5633441334473217,0.1115092553499813,0.191445611040659,0.2159150506473415,0.7589135464713116,4,6,2
42300201,2024,Boston Celtics,Cleveland Cavaliers,True,True,2.0,1,0.5678579347481787,0.10960999719402802,0.19219425639590126,0.22851070851070848,0.8646709075546285,0.492702072559526,0.14020794309480203,0.19906577385036717,0.19479512624111925,0.735462728932618,0.5816428794318029,0.1064080966071232,0.1844225612308873,0.2484158887661368,0.7609654936218475,0.556370127618993,0.1237802622614108,0.1807617185885358,0.2306319619260173,0.7718208082020325,5,7,2
42300211,2024,New York Knicks,Indiana Pacers,True,True,2.0,1,0.5072468361290566,0.09754423889659643,0.19527071938924898,0.31579709156605545,0.7428658176455011,0.5585160150042282,0.09186533748240398,0.139223701047157,0.22972405643831773,0.7802453565576578,0.5416363330318841,0.1176707723522317,0.1924248138480618,0.292367923165691,0.7606841014613429,0.5791272510207534,0.1139647351099942,0.1724644577510479,0.2345539427109571,0.7430414340142291,6,6,0
42300231,2024,Denver Nuggets,Minnesota Timberwolves,True,False,2.0,1,0.520282901720443,0.10232636750093956,0.1523704430406119,0.2511730370428327,0.8266102927805056,0.5471253530145432,0.12324927955382754,0.28796244114919045,0.35296052631578945,0.8145752895752896,0.5649363551767206,0.1133013483963124,0.1725972160337706,0.2533781942418731,0.7558030355621286,0.5628584418637717,0.1277775535460273,0.2093468353374946,0.2293566226206194,0.7699820078748645,5,4,-1
42200231,2023,Golden State Warriors,Los Angeles Lakers,True,False,2.0,1,0.5275257216234953,0.12349140388863875,0.2066288973520964,0.25657709670221335,0.7107155993710615,0.522285566740592,0.12890441726394752,0.19095378475718025,0.25338351817108745,0.7494268118108467,0.5723664216195072,0.1417268315553141,0.1799551702859207,0.2426381847728018,0.7598890263033143,0.5439453372791243,0.1223939253894777,0.234854744283487,0.2266488597158133,0.7646795427342514,7,6,-1
42200211,2023,Boston Celtics,Philadelphia 76ers,True,False,2.0,1,0.6000097352086962,0.11596434284364404,0.14421629955312737,0.21328417287719612,0.7499774622492675,0.5301914390590227,0.12586141575284546,0.1542166358237542,0.3112630715527057,0.8559341662414036,0.5667794323141807,0.1196626457561833,0.1997962100851573,0.2186984214800163,0.7872949524238839,0.5632950078319883,0.1255148697230274,0.2536039852001738,0.2143497896223308,0.7741853541538852,6,4,-2
42200201,2023,New York Knicks,Miami Heat,True,False,2.0,1,0.479131454403548,0.13793846404845372,0.22995377143467638,0.3481900399342259,0.770391099127019,0.6094424540976264,0.131629631111177,0.17550082101806236,0.1782119134239517,0.7790383783912601,0.5424384620984565,0.1144517090393298,0.2179336014584558,0.2793742198056922,0.7763100738391441,0.5308604861096629,0.1240165455628831,0.2282665762316884,0.2264879803667216,0.7784395136663975,5,5,0
