gameId,season,gameNumber,homeTeam,awayTeam,homeCourt,homeWin,homeWins,awayWins,round,eFG%_home_r4_roll,eFG%_away_r4_roll,TOV%_home_r4_roll,TOV%_away_r4_roll,FT/FGA_home_r4_roll,FT/FGA_away_r4_roll,ORB%_home_r4_roll,ORB%_away_r4_roll,DRB%_home_r4_roll,DRB%_away_r4_roll
42400407,2025,7,Oklahoma City Thunder,Indiana Pacers,True,True,2,1,4.0,0.5042434417572246,0.5331912258540744,0.1228506859015865,0.14674743605039933,0.3092267426232466,0.23802151560518162,0.24974587140893578,0.24774651518072568,0.7522534848192742,0.7502541285910641
42400406,2025,6,Indiana Pacers,Oklahoma City Thunder,False,True,1,1,4.0,0.5409164275466284,0.510497535514075,0.15839780821623145,0.10796197302553404,0.24866929698708748,0.31431533439113923,0.2514624848835375,0.2791822251779024,0.7208177748220975,0.7485375151164625
42400405,2025,5,Oklahoma City Thunder,Indiana Pacers,True,True,1,1,4.0,0.5131219193925937,0.5465723637015782,0.1118587477733519,0.1510689326252381,0.32374523181871123,0.2376658895265423,0.2558405265704173,0.21205537883169462,0.7879446211683054,0.7441594734295827
42400404,2025,4,Indiana Pacers,Oklahoma City Thunder,False,False,1,1,4.0,0.5641798182687708,0.5196326446602104,0.1557714816303394,0.10891724607185872,0.21272118603538973,0.2863611637924697,0.2213369963369963,0.23585754419915286,0.764142455800847,0.7786630036630037
42400403,2025,3,Indiana Pacers,Oklahoma City Thunder,False,True,0,1,4.0,0.5609756097560976,0.5136261821801891,0.1732931808407543,0.08553704126896029,0.20731707317073164,0.28397212543553996,0.24450549450549447,0.23536526366715038,0.7646347363328496,0.7554945054945055
42400402,2025,2,Oklahoma City Thunder,Indiana Pacers,True,True,0,0,4.0,0.4540816326530612,0.5853658536585366,0.0523743016759776,0.2082610204790003,0.2142857142857142,0.1829268292682926,0.1886792452830188,0.3095238095238095,0.6904761904761905,0.8113207547169812
42300405,2024,5,Boston Celtics,Dallas Mavericks,True,True,2,1,4.0,0.5255371660859466,0.5132328669392623,0.11828696341804151,0.10469525675544096,0.17331591173054584,0.16762075134168153,0.17392781636967677,0.23798878665899942,0.7620112133410005,0.8260721836303232
42300404,2024,4,Dallas Mavericks,Boston Celtics,False,True,0,0,4.0,0.4883397932816537,0.5507162214479288,0.11224137808092345,0.11091825099675223,0.16854928017718715,0.18108788230739448,0.2089850488786659,0.20089600322158455,0.7991039967784154,0.7910149511213341
42300403,2024,3,Dallas Mavericks,Boston Celtics,False,False,0,0,4.0,0.4854166666666666,0.5425377468060395,0.1242617143185628,0.12006202038150135,0.1714285714285714,0.1923635307781649,0.21888297872340426,0.22991543340380544,0.7700845665961945,0.7811170212765958
42300402,2024,2,Boston Celtics,Dallas Mavericks,True,True,1,0,4.0,0.573170731707317,0.4583333333333333,0.1341510157148332,0.1064241486068111,0.1585365853658536,0.1428571428571428,0.2325581395348837,0.2127659574468085,0.7872340425531915,0.7674418604651163
