gameId,season,homeTeam,awayTeam,homeSeed,awaySeed,homeCourt,homeWin,round,gameNumber,eFG%_home_season,TOV%_home_season,FT/FGA_home_season,ORB%_home_season,DRB%_home_season,eFG%_away_season,TOV%_away_season,FT/FGA_away_season,ORB%_away_season,DRB%_away_season,eFG%_home_r1g1,TOV%_home_r1g1,FT/FGA_home_r1g1,ORB%_home_r1g1,DRB%_home_r1g1,eFG%_away_r1g1,TOV%_away_r1g1,FT/FGA_away_r1g1,ORB%_away_r1g1,DRB%_away_r1g1,homeScore_r1g1,awayScore_r1g1,homeLostRound1Game1
42400152,2025,Houston Rockets,Golden State Warriors,2.0,7.0,True,True,1,2,0.5229791546354807,0.1111303229978362,0.1797425119189189,0.3160251095024033,0.7631315491103853,0.5370703856058747,0.116518717747751,0.1893766082715259,0.2715094236717492,0.7588613111513853,0.425287356321839,0.1431127012522361,0.1264367816091954,0.4230769230769231,0.8333333333333334,0.5526315789473685,0.1180764276513525,0.1447368421052631,0.1666666666666666,0.5769230769230769,85,95,1
42400102,2025,Cleveland Cavaliers,Miami Heat,1.0,8.0,True,True,1,2,0.5789728832627004,0.1108683464899944,0.1898286370343472,0.2583481745605887,0.7496354993187085,0.5449073402005499,0.1167907365701353,0.1858869173878394,0.2208507433126192,0.7588217101010372,0.6136363636363636,0.0686005488043904,0.1477272727272727,0.35,0.717948717948718,0.56875,0.1410153102336825,0.1125,0.282051282051282,0.65,121,100,0
42400112,2025,Boston Celtics,Orlando Magic,2.0,7.0,True,True,1,2,0.5618577799381598,0.1032607729085805,0.1709751502038617,0.2558424397519852,0.7601602568082985,0.510347938343158,0.1202786418521276,0.2125014442963116,0.2524369386385372,0.7727283627059952,0.5487804878048781,0.0909826122118883,0.1585365853658536,0.2432432432432432,0.717391304347826,0.4814814814814814,0.1487504958349861,0.0987654320987654,0.2826086956521739,0.7567567567567568,103,86,0
42400162,2025,Los Angeles Lakers,Minnesota Timberwolves,3.0,6.0,True,True,1,2,0.5581055098736905,0.1203752657423463,0.2174557529966735,0.2305396151391905,0.7450589432422474,0.5565076749943708,0.124347008018063,0.1990115453629053,0.2556939144770764,0.7523160875319653,0.4879518072289157,0.1261645962732919,0.1686746987951807,0.2826086956521739,0.6944444444444444,0.6337209302325582,0.099601593625498,0.0930232558139534,0.3055555555555556,0.717391304347826,95,117,1
42400142,2025,Oklahoma City Thunder,Memphis Grizzlies,1.0,8.0,True,True,1,2,0.5581594613975414,0.0980068811549895,0.1822653182514745,0.2382942231241037,0.747758760424753,0.5544037322682288,0.1260509788846652,0.1987069567781037,0.2861889776142628,0.7516919731499652,0.5909090909090909,0.1243781094527363,0.1414141414141414,0.2857142857142857,0.7636363636363637,0.3763440860215054,0.182906551380113,0.1075268817204301,0.2363636363636363,0.7142857142857143,131,80,0
42400132,2025,Indiana Pacers,Milwaukee Bucks,4.0,5.0,True,True,1,2,0.5622493143037851,0.1097941363664756,0.1923640118520674,0.2115510400062374,0.7468470321126954,0.5707657893237635,0.1182210867783272,0.2044242587321111,0.1907593586665259,0.7631686768831937,0.5987654320987654,0.0513136288998357,0.2469135802469135,0.131578947368421,0.8260869565217391,0.4702380952380952,0.0940556809631301,0.2261904761904762,0.1739130434782608,0.868421052631579,117,98,0
42400172,2025,Denver Nuggets,Los Angeles Clippers,4.0,5.0,True,False,1,2,0.5746145427039192,0.1192318310051288,0.2025145635283618,0.2665565798549045,0.7472582806684616,0.5556264875483019,0.1262884165993449,0.2016721788618986,0.2439898057377592,0.7772864684204371,0.4840425531914893,0.0941136208076659,0.2234042553191489,0.2666666666666666,0.75,0.5697674418604651,0.1769285208775654,0.1395348837209302,0.25,0.7333333333333333,112,110,0
42400122,2025,New York Knicks,Detroit Pistons,3.0,6.0,True,False,1,2,0.5573323517857001,0.1103193586209133,0.1884116681945858,0.2569181580584944,0.7479974537078781,0.548780819500136,0.1242617126027715,0.1948336306979154,0.2594570567736945,0.7630740648939247,0.5806451612903226,0.0822067957617829,0.1612903225806451,0.2352941176470588,0.717948717948718,0.563953488372093,0.1669595782073814,0.1744186046511628,0.282051282051282,0.7647058823529411,123,112,0
42300142,2024,Oklahoma City Thunder,New Orleans Pelicans,1.0,8.0,True,True,1,2,0.575182630842224,0.1126269057589585,0.2008030592196049,0.2114072015889422,0.7405276320735278,0.5592278163543698,0.1176308664578273,0.2046722139432088,0.245141281321,0.7729113532553716,0.4941176470588235,0.1253374469726186,0.1176470588235294,0.1904761904761904,0.6666666666666666,0.4427083333333333,0.1228501228501228,0.0729166666666666,0.3333333333333333,0.8095238095238095,94,92,0
42300102,2024,Boston Celtics,Miami Heat,1.0,8.0,True,False,1,2,0.5816428794318029,0.1064080966071232,0.1844225612308873,0.2484158887661368,0.7609654936218475,0.5373331410562888,0.1172155564952793,0.2131706049373733,0.217723496100964,0.7825510820026934,0.6097560975609756,0.1099560175929628,0.1707317073170731,0.2564102564102564,0.8717948717948718,0.5432098765432098,0.1162299239222316,0.074074074074074,0.1282051282051282,0.7435897435897436,114,94,0
42300172,2024,Los Angeles Clippers,Dallas Mavericks,4.0,5.0,True,False,1,2,0.5648314383394261,0.1207525269858183,0.2125714764735856,0.2410915382969403,0.7498609544894834,0.5633441334473217,0.1115092553499813,0.191445611040659,0.2159150506473415,0.7589135464713116,0.5632183908045977,0.1311844077961019,0.1264367816091954,0.238095238095238,0.7954545454545454,0.45,0.0869397217928902,0.3125,0.2045454545454545,0.7619047619047619,109,97,0
