gameId,season,gameNumber,homeTeam,awayTeam,homeCourt,homeWin,homeWins,awayWins,round,eFG%_home_r3_roll,eFG%_away_r3_roll,TOV%_home_r3_roll,TOV%_away_r3_roll,FT/FGA_home_r3_roll,FT/FGA_away_r3_roll,ORB%_home_r3_roll,ORB%_away_r3_roll,DRB%_home_r3_roll,DRB%_away_r3_roll
42400306,2025,6,Indiana Pacers,New York Knicks,False,True,1,2,3.0,0.5427223523789789,0.5386274135594846,0.11140136479443288,0.12877750789310155,0.27450294967162436,0.28585805021960653,0.1911671335200747,0.27903735515760475,0.7209626448423954,0.8088328664799252
42400305,2025,5,New York Knicks,Indiana Pacers,True,True,0,1,3.0,0.5384528062751985,0.5601596972304803,0.1279845520021968,0.09241768576074438,0.31518773131383404,0.26204760600844934,0.2848432055749129,0.19133986928104574,0.8086601307189543,0.7151567944250872
42400315,2025,5,Oklahoma City Thunder,Minnesota Timberwolves,True,True,2,1,3.0,0.5487297369913724,0.5532253706946011,0.10442933039011762,0.13681259255474118,0.20832603583073772,0.20198234440223944,0.26276586794879475,0.33814543247773055,0.6618545675222693,0.7372341320512052
42400304,2025,4,Indiana Pacers,New York Knicks,False,True,0,2,3.0,0.5518038387315496,0.5390752864157119,0.09079815948384595,0.12186278191661137,0.24712408073853853,0.2861039669550307,0.2088235294117647,0.2740998838559814,0.7259001161440186,0.7911764705882353
42400314,2025,4,Minnesota Timberwolves,Oklahoma City Thunder,False,False,1,0,3.0,0.531284621243595,0.5351484212516544,0.12275091895126987,0.09977135797617849,0.18200820523473196,0.22162769689712394,0.2749346507110482,0.19588294588294583,0.8041170541170541,0.7250653492889517
42400303,2025,3,Indiana Pacers,New York Knicks,False,False,0,2,3.0,0.5906927710843373,0.5554078014184397,0.07823742469717546,0.11625424892054445,0.1953614457831325,0.25607902735562305,0.225,0.3013937282229965,0.6986062717770035,0.775
42400313,2025,3,Minnesota Timberwolves,Oklahoma City Thunder,False,True,0,0,3.0,0.4583852651987259,0.5585365853658537,0.1400657510035703,0.08505755376013341,0.20530397451876464,0.2336043360433604,0.2637533274179237,0.23700623700623696,0.7629937629937631,0.7362466725820762
42400302,2025,2,New York Knicks,Indiana Pacers,True,False,0,0,3.0,0.5691489361702128,0.585,0.1184834123222748,0.0586657727120348,0.2978723404255319,0.21,0.3170731707317073,0.25,0.75,0.6829268292682927
42400312,2025,2,Oklahoma City Thunder,Minnesota Timberwolves,True,True,1,0,3.0,0.5670731707317073,0.4397590361445783,0.1138088012139605,0.1556206517759062,0.2560975609756097,0.180722891566265,0.2307692307692307,0.2448979591836734,0.7551020408163265,0.7692307692307693
42300315,2024,5,Minnesota Timberwolves,Dallas Mavericks,True,False,0,1,3.0,0.542654427395009,0.5640492467740608,0.10609488438690375,0.12452276711861796,0.19671763634090136,0.24176365948678316,0.2354043745157637,0.252737506396043,0.7472624936039571,0.7645956254842362
42300314,2024,4,Dallas Mavericks,Minnesota Timberwolves,False,False,1,2,3.0,0.5833413825300235,0.5230887860762282,0.12126187317018079,0.09145984584920501,0.2482774719083035,0.19021810971579645,0.26122576610381487,0.2550489699425869,0.744951030057413,0.738774233896185
42300304,2024,4,Indiana Pacers,Boston Celtics,False,False,0,0,3.0,0.5744209494209495,0.5786960975213987,0.14220553700478714,0.10210438009569822,0.12523587523587518,0.2255233053425824,0.2648448043184885,0.26314423838527295,0.736855761614727,0.7351551956815116
42300313,2024,3,Dallas Mavericks,Minnesota Timberwolves,False,True,0,2,3.0,0.5441297208538588,0.50522141440846,0.10870167633829085,0.08839976096740626,0.18123973727422,0.214738929279577,0.2751719824890556,0.23971631205673755,0.7602836879432624,0.7248280175109443
42300303,2024,3,Indiana Pacers,Boston Celtics,False,False,0,0,3.0,0.5951479076479076,0.5849116161616161,0.16245771379120438,0.1141093229744728,0.11093073593073591,0.21780303030303025,0.27884615384615385,0.3093505039193729,0.6906494960806271,0.7211538461538461
42300312,2024,2,Minnesota Timberwolves,Dallas Mavericks,True,False,0,0,3.0,0.5280898876404494,0.5287356321839081,0.093527871305649,0.1209527353926311,0.1235955056179775,0.1839080459770115,0.2127659574468085,0.2682926829268293,0.7317073170731707,0.7872340425531915
42300302,2024,2,Boston Celtics,Indiana Pacers,True,True,1,0,3.0,0.5505050505050505,0.601010101010101,0.1179245283018868,0.175438596491228,0.2424242424242424,0.0909090909090909,0.2765957446808511,0.25,0.75,0.723404255319149
42200307,2023,7,Boston Celtics,Miami Heat,True,False,1,2,3.0,0.545564317063212,0.5522856533358279,0.12017261158755167,0.11586669009927915,0.22699133147194228,0.2044578384585168,0.2593420606578501,0.2343569437319437,0.7656430562680562,0.7406579393421499
42200306,2023,6,Miami Heat,Boston Celtics,False,False,1,2,3.0,0.5767212786266495,0.5585233343220082,0.13001149796384429,0.12134128024652543,0.19588704055882228,0.19803062340735636,0.21584371709371708,0.254067615646563,0.7459323843534371,0.7841562829062829
42200305,2023,5,Boston Celtics,Miami Heat,True,True,0,1,3.0,0.5462554337252951,0.5782733931551067,0.12599870384143538,0.12186396595074031,0.203234481790841,0.21921777505750223,0.23863715113715112,0.19837607493857493,0.8016239250614251,0.7613628488628488
42200304,2023,4,Miami Heat,Boston Celtics,False,False,1,2,3.0,0.6086380284803132,0.521991371951187,0.11232225808731766,0.13529288194033354,0.19399976845273803,0.22336026143540708,0.17359234234234233,0.25835380835380833,0.7416461916461916,0.8264076576576577
