gameId,gameDate,season,homeTeam,awayTeam,seriesId,round,gameNumber,homeWin,gameLabel,gameSubLabel,homeScore,awayScore,homeSeed,awaySeed,matchupType,conference_home,conference_away,homeCourt
46800244,1969-04-02 19:00:00,1969,New York Knicks,Baltimore Bullets,New York Knicks_vs_Baltimore Bullets_vs_1969,2.0,4,True,East - Conf. Semifinals,,115,108,,,Conference Semifinals,,,False
46800213,1969-04-01 19:00:00,1969,San Diego Rockets,Atlanta Hawks,San Diego Rockets_vs_Atlanta Hawks_vs_1969,2.0,3,True,West - Conf. Semifinals,,104,97,,,Conference Semifinals,,,False
46800224,1969-04-01 19:00:00,1969,Boston Celtics,Philadelphia 76ers,Boston Celtics_vs_Philadelphia 76ers_vs_1969,2.0,4,False,East - Conf. Semifinals,,116,119,,,Conference Semifinals,,,False
46800233,1969-03-31 19:00:00,1969,San Francisco Warriors,Los Angeles Lakers,San Francisco Warriors_vs_Los Angeles Lakers_vs_1969,2.0,3,False,West - Conf. Semifinals,,98,115,,,Conference Semifinals,,,False
46800223,1969-03-30 19:00:00,1969,Philadelphia 76ers,Boston Celtics,Philadelphia 76ers_vs_Boston Celtics_vs_1969,2.0,3,False,East - Conf. Semifinals,,118,125,,,Conference Semifinals,,,False
46800243,1969-03-30 19:00:00,1969,Baltimore Bullets,New York Knicks,Baltimore Bullets_vs_New York Knicks_vs_1969,2.0,3,False,East - Conf. Semifinals,,116,119,,,Conference Semifinals,,,False
46800212,1969-03-29 19:00:00,1969,Atlanta Hawks,San Diego Rockets,Atlanta Hawks_vs_San Diego Rockets_vs_1969,2.0,2,True,West - Conf. Semifinals,,116,114,,,Conference Semifinals,,,False
46800242,1969-03-29 19:00:00,1969,New York Knicks,Baltimore Bullets,New York Knicks_vs_Baltimore Bullets_vs_1969,2.0,2,True,East - Conf. Semifinals,,107,91,,,Conference Semifinals,,,False
46800222,1969-03-28 19:00:00,1969,Boston Celtics,Philadelphia 76ers,Boston Celtics_vs_Philadelphia 76ers_vs_1969,2.0,2,True,East - Conf. Semifinals,,134,103,,,Conference Semifinals,,,False
46800232,1969-03-28 19:00:00,1969,Los Angeles Lakers,San Francisco Warriors,Los Angeles Lakers_vs_San Francisco Warriors_vs_1969,2.0,2,False,West - Conf. Semifinals,,101,107,,,Conference Semifinals,,,False
