gameId,season,homeTeam,awayTeam,homeCourt,homeWin,restAdvantage,homeSeriesLength,awaySeriesLength,round,gameNumber,eFG%_home_r1r2_avg,TOV%_home_r1r2_avg,FT/FGA_home_r1r2_avg,ORB%_home_r1r2_avg,DRB%_home_r1r2_avg,eFG%_home_season,TOV%_home_season,FT/FGA_home_season,ORB%_home_season,DRB%_home_season,eFG%_away_r1r2_avg,TOV%_away_r1r2_avg,FT/FGA_away_r1r2_avg,ORB%_away_r1r2_avg,DRB%_away_r1r2_avg,eFG%_away_season,TOV%_away_season,FT/FGA_away_season,ORB%_away_season,DRB%_away_season
42400301,2025,New York Knicks,Indiana Pacers,True,False,-3,6,5,3.0,1,0.5081927488623441,0.1101423207717468,0.21074816775663366,0.27159224037337637,0.7279321051857011,0.5573323517857001,0.1103193586209133,0.1884116681945858,0.2569181580584944,0.7479974537078781,0.5839495410140241,0.11004194104797198,0.20350659808119786,0.17308766701753478,0.7413465136603817,0.5622493143037851,0.1097941363664756,0.1923640118520674,0.2115510400062374,0.7468470321126954
42400311,2025,Oklahoma City Thunder,Minnesota Timberwolves,True,True,-3,7,5,3.0,1,0.5217256269230218,0.09329186912296028,0.20934138180211692,0.25718758942215597,0.7358299871597406,0.5581594613975414,0.0980068811549895,0.1822653182514745,0.2382942231241037,0.747758760424753,0.5390766222362505,0.12448097664634403,0.20200801217380207,0.2796164159873866,0.7232022645686994,0.5565076749943708,0.124347008018063,0.1990115453629053,0.2556939144770764,0.7523160875319653
42300311,2024,Minnesota Timberwolves,Dallas Mavericks,True,False,-1,7,6,3.0,1,0.5412322074374727,0.11852459994940498,0.23364734285775385,0.2723271631166368,0.8006839996914813,0.5628584418637717,0.1277775535460273,0.2093468353374946,0.2293566226206194,0.7699820078748645,0.5359183344464906,0.1203444913857793,0.20323950760404996,0.2817873376742193,0.7579192371671458,0.5633441334473217,0.1115092553499813,0.191445611040659,0.2159150506473415,0.7589135464713116
42300301,2024,Boston Celtics,Indiana Pacers,True,True,4,5,7,3.0,1,0.5690348759582589,0.11118955335596485,0.1873136833818971,0.24482371953644178,0.8463272947928967,0.5816428794318029,0.1064080966071232,0.1844225612308873,0.2484158887661368,0.7609654936218475,0.582264183638932,0.10322408385552385,0.1412047023221071,0.24594865347282055,0.7340118609609997,0.5791272510207534,0.1139647351099942,0.1724644577510479,0.2345539427109571,0.7430414340142291
42200301,2023,Boston Celtics,Miami Heat,True,False,-2,7,6,3.0,1,0.5753776531499797,0.1120147483315085,0.18060274873687848,0.2142613717845401,0.780085719709709,0.5667794323141807,0.1196626457561833,0.1997962100851573,0.2186984214800163,0.7872949524238839,0.5462316207602207,0.11211749904664096,0.20462920026342302,0.2081183577543065,0.7501884844710974,0.5308604861096629,0.1240165455628831,0.2282665762316884,0.2264879803667216,0.7784395136663975
42200311,2023,Denver Nuggets,Los Angeles Lakers,True,True,1,6,6,3.0,1,0.5541109722159686,0.10506394363037953,0.21219142558727624,0.25024937044577333,0.8044417537362225,0.5739329918825821,0.1308576633230589,0.195762284976208,0.2441077785276693,0.7656951336593567,0.5305379541205221,0.11443753537601464,0.221472277087687,0.22126865757069025,0.7420817198338147,0.5439453372791243,0.1223939253894777,0.234854744283487,0.2266488597158133,0.7646795427342514
42100311,2022,Golden State Warriors,Dallas Mavericks,True,True,1,6,7,3.0,1,0.569558201333961,0.14030072042014233,0.18858350223021905,0.2222045723872745,0.7443187140847853,0.5523677843120525,0.1348557134703063,0.1818884716302517,0.2276387892777297,0.7904162930811061,0.547948550942885,0.10144739541668235,0.21655163988843518,0.16464521543759897,0.7542539690891339,0.5394819101047275,0.1168187006018598,0.19450238067763,0.2146913170938256,0.7817786159638379
42100301,2022,Miami Heat,Boston Celtics,True,True,3,6,7,3.0,1,0.5312525276526371,0.12383016466330005,0.21084717446494225,0.22824539912237202,0.8068108994413113,0.5484392159947342,0.1338302219202494,0.2074194828259037,0.2324057532503444,0.7810203233479376,0.5410097576989524,0.12297359920653682,0.20542722269885247,0.21233251089609517,0.7676379454198211,0.5432406612540167,0.1235615889158951,0.1965303884978194,0.2384378591524155,0.7748749088039898
42000301,2021,Milwaukee Bucks,Atlanta Hawks,True,False,1,7,7,3.0,1,0.5133136320112373,0.12005318454493019,0.1569275650786527,0.25305766387945006,0.8416291235710222,0.5668892391853396,0.120066808252772,0.1779744880877236,0.2304397246371305,0.7982286741821256,0.5129453469392136,0.10620538136867595,0.21270707406450232,0.19235431224367308,0.779349788922486,0.5409775698478416,0.1194387973466741,0.2279671458788673,0.2407810507517135,0.7805047736110701
42000311,2021,Phoenix Suns,Los Angeles Clippers,True,True,5,4,6,3.0,1,0.5550399884917894,0.11384581993063148,0.2239831130242643,0.18939670145484094,0.7635926330090094,0.5655338665720011,0.1147294547584077,0.1805858960373312,0.2046587799170946,0.787067487257064,0.5833956637382891,0.10458397397458559,0.24595341893338837,0.22716550201060864,0.7698702633745308,0.5659887845389676,0.1217075574614655,0.1883983217239119,0.2257547693262027,0.7928906508332951
41900311,2020,Los Angeles Lakers,Denver Nuggets,True,True,3,5,7,3.0,1,0.5717727362372353,0.14483740297622655,0.21296886867481427,0.26378020200485125,0.8271004402277831,0.5414475824923984,0.1325971074100805,0.2036036778757045,0.2444568177181665,0.7899252204162458,0.5455958449232867,0.12699522599861243,0.19303339161116598,0.22947411867533304,0.7762286373088487,0.5366580431354199,0.1231362261875189,0.1849257675809296,0.2468932466699359,0.7687308755396691
